ticker_api,status,n_obs,timestamp
A.US,ok,6569,2026-02-10T18:11:19.374005
AA.US,ok,10330,2026-02-10T18:11:21.043667
AAAB.US,ok,1023,2026-02-10T18:11:22.903090
AAAGY.US,ok,2072,2026-02-10T18:11:24.078772
AAAP.US,ok,531,2026-02-10T18:11:25.264962
AAB.US,ok,316,2026-02-10T18:11:26.321153
AABA.US,ok,5908,2026-02-10T18:11:27.339776
AABC.US,ok,2014,2026-02-10T18:11:28.975305
AAC.US,ok,1008,2026-02-10T18:11:30.176942
AAC-U.US,ok,10,2026-02-10T18:11:31.180449
AACB.US,ok,186,2026-02-10T18:11:32.489422
AACB_old.US,ok,2420,2026-02-10T18:11:33.506267
AACC.US,ok,2355,2026-02-10T18:11:34.768132
AACE.US,ok,1952,2026-02-10T18:11:36.175323
AACG.US,ok,4511,2026-02-10T18:11:37.401649
AACI.US,ok,133,2026-02-10T18:11:38.787453
AACI_old.US,ok,705,2026-02-10T18:11:39.790090
AACQ.US,ok,204,2026-02-10T18:11:40.830790
AACQU.US,ok,240,2026-02-10T18:11:41.822717
AACQW.US,ok,203,2026-02-10T18:11:42.838759
AACT.US,ok,571,2026-02-10T18:11:43.855224
AACT_old.US,ok,4574,2026-02-10T18:11:44.864774
AAC_old1.US,ok,569,2026-02-10T18:11:46.255376
AAC_old2.US,ok,1282,2026-02-10T18:11:47.291241
AADI.US,ok,1869,2026-02-10T18:11:48.554352
AAGIY1.US,ok,350,2026-02-10T18:11:49.759973
AAGRW.US,ok,4,2026-02-10T18:11:50.816908
AAI.US,ok,3355,2026-02-10T18:11:51.934723
AAIC.US,ok,6536,2026-02-10T18:11:53.298230
AAII.US,ok,2057,2026-02-10T18:11:54.917675
AAIN.US,ok,638,2026-02-10T18:11:56.128411
AAI_old.US,ok,413,2026-02-10T18:11:57.141038
AAK.US,ok,4976,2026-02-10T18:11:58.158026
AAL.US,ok,5098,2026-02-10T18:11:59.585223
AAM.US,ok,325,2026-02-10T18:12:01.167330
AAMC.US,ok,2992,2026-02-10T18:12:02.224490
AAME.US,ok,9433,2026-02-10T18:12:03.891363
AAMI.US,ok,2824,2026-02-10T18:12:05.617194
AAM_old.US,ok,3029,2026-02-10T18:12:06.981328
AAN.US,ok,969,2026-02-10T18:12:08.374393
AANB.US,ok,2703,2026-02-10T18:12:09.584962
AAN_old.US,ok,2926,2026-02-10T18:12:10.954353
AAOI.US,ok,3085,2026-02-10T18:12:12.382478
AAON.US,ok,8556,2026-02-10T18:12:13.846972
AAP.US,ok,6061,2026-02-10T18:12:15.816418
AAP1.US,ok,585,2026-02-10T18:12:17.394133
AAPC.US,ok,616,2026-02-10T18:12:18.468078
AAPG.US,ok,236,2026-02-10T18:12:19.482610
AAPGV.US,ok,46,2026-02-10T18:12:20.492919
AAPL.US,ok,10330,2026-02-10T18:12:21.515671
AAQC.US,ok,406,2026-02-10T18:12:23.332481
AARD.US,ok,222,2026-02-10T18:12:24.658058
AAT.US,ok,3764,2026-02-10T18:12:25.665759
AATI.US,ok,1621,2026-02-10T18:12:27.074013
AATI_old.US,ok,371,2026-02-10T18:12:28.287374
AATT.US,ok,527,2026-02-10T18:12:29.324045
AAU.US,ok,5499,2026-02-10T18:12:30.334433
AAUC.US,ok,346,2026-02-10T18:12:31.953531
AAUGD.US,ok,1202,2026-02-10T18:12:32.993743
AAV.US,ok,3646,2026-02-10T18:12:34.288845
AAVL.US,ok,405,2026-02-10T18:12:35.692054
AAV_old.US,ok,272,2026-02-10T18:12:36.726538
AAWHQ.US,ok,1652,2026-02-10T18:12:37.792452
AAWW.US,ok,4639,2026-02-10T18:12:39.007645
AB.US,ok,9501,2026-02-10T18:12:40.551516
ABAC.US,ok,2124,2026-02-10T18:12:42.262423
ABACF.US,ok,319,2026-02-10T18:12:43.440238
ABAN.US,ok,559,2026-02-10T18:12:44.441323
ABAT.US,ok,2479,2026-02-10T18:12:45.456693
ABAX.US,ok,5179,2026-02-10T18:12:46.842895
ABBBY.US,ok,388,2026-02-10T18:12:48.446078
ABBC.US,ok,1710,2026-02-10T18:12:49.557492
ABBK.US,ok,1337,2026-02-10T18:12:50.883400
ABBV.US,ok,3285,2026-02-10T18:12:52.105451
ABC.US,ok,7154,2026-02-10T18:12:54.910685
ABCB.US,ok,7959,2026-02-10T18:12:56.504223
ABCC.US,ok,194,2026-02-10T18:12:58.145655
ABCD.US,ok,2271,2026-02-10T18:12:59.164657
ABCL.US,ok,1269,2026-02-10T18:13:00.367027
ABCL_old.US,ok,883,2026-02-10T18:13:01.581833
ABCM.US,ok,794,2026-02-10T18:13:02.769903
ABCO.US,ok,4033,2026-02-10T18:13:03.941171
ABCO_old.US,ok,343,2026-02-10T18:13:05.401138
ABCR.US,ok,951,2026-02-10T18:13:06.411258
ABCW.US,ok,383,2026-02-10T18:13:07.575809
ABD.US,ok,444,2026-02-10T18:13:08.627711
ABDC.US,ok,1443,2026-02-10T18:13:09.621109
ABDR_old.US,ok,479,2026-02-10T18:13:10.848331
ABDS.US,ok,3174,2026-02-10T18:13:11.867382
ABEO.US,ok,10078,2026-02-10T18:13:13.071889
ABEOW.US,ok,1135,2026-02-10T18:13:14.706750
ABEV.US,ok,7253,2026-02-10T18:13:15.948511
ABF.US,ok,6835,2026-02-10T18:13:17.499756
ABFIQ.US,ok,2637,2026-02-10T18:13:18.888944
ABFS.US,ok,5533,2026-02-10T18:13:20.069505
ABG.US,ok,5990,2026-02-10T18:13:21.600589
ABG2.US,ok,931,2026-02-10T18:13:23.250886
ABGB.US,ok,635,2026-02-10T18:13:24.273440
ABGBY.US,ok,647,2026-02-10T18:13:25.425043
ABGI.US,ok,518,2026-02-10T18:13:26.608844
ABGX.US,ok,1948,2026-02-10T18:13:27.612400
ABHH.US,ok,146,2026-02-10T18:13:28.927411
ABII.US,ok,736,2026-02-10T18:13:29.927503
ABIL.US,ok,1008,2026-02-10T18:13:31.120235
ABILW.US,ok,65,2026-02-10T18:13:32.315656
ABIO.US,ok,6810,2026-02-10T18:13:33.305436
ABIO_old.US,ok,745,2026-02-10T18:13:34.890056
ABIX.US,ok,3464,2026-02-10T18:13:35.888899
ABIZA.US,ok,984,2026-02-10T18:13:37.247631
ABI_old1.US,ok,2742,2026-02-10T18:13:38.422078
ABI_old2.US,ok,411,2026-02-10T18:13:39.807767
ABK.US,ok,5051,2026-02-10T18:13:40.826022
ABL.US,ok,1268,2026-02-10T18:13:42.152855
ABLLW.US,ok,526,2026-02-10T18:13:43.343771
ABLV.US,ok,711,2026-02-10T18:13:44.329223
ABLX.US,ok,158,2026-02-10T18:13:45.494684
ABM.US,ok,10302,2026-02-10T18:13:46.471963
ABMD.US,ok,8819,2026-02-10T18:13:48.094921
ABN.US,ok,4510,2026-02-10T18:13:49.724780
ABNB.US,ok,1270,2026-02-10T18:13:51.135214
ABNC.US,ok,109,2026-02-10T18:13:52.405865
ABNJ.US,ok,917,2026-02-10T18:13:53.416224
ABNKQ.US,ok,399,2026-02-10T18:13:54.570487
ABNK_old.US,ok,1994,2026-02-10T18:13:55.554022
ABOS.US,ok,1131,2026-02-10T18:13:56.776392
ABOV.US,ok,186,2026-02-10T18:13:57.986640
ABP.US,ok,673,2026-02-10T18:13:58.996063
ABPI.US,ok,2563,2026-02-10T18:14:00.030270
ABPWW.US,ok,503,2026-02-10T18:14:01.260731
ABP_old.US,ok,540,2026-02-10T18:14:02.354154
ABQQD.US,ok,2459,2026-02-10T18:14:03.351565
ABR.US,ok,5469,2026-02-10T18:14:04.531481
ABRN.US,ok,958,2026-02-10T18:14:06.103433
ABRX.US,ok,1916,2026-02-10T18:14:07.306708
ABRX_old.US,ok,392,2026-02-10T18:14:09.101559
ABR_old.US,ok,1118,2026-02-10T18:14:11.059007
ABS.US,ok,2312,2026-02-10T18:14:12.391096
ABSC.US,ok,641,2026-02-10T18:14:13.766356
ABSI.US,ok,1117,2026-02-10T18:14:14.914266
ABST.US,ok,4528,2026-02-10T18:14:16.111540
ABT.US,ok,10330,2026-02-10T18:14:17.501148
ABTC.US,ok,1974,2026-02-10T18:14:19.276793
ABTC_old.US,ok,290,2026-02-10T18:14:20.484845
ABTE.US,ok,700,2026-02-10T18:14:21.493074
ABTL.US,ok,4665,2026-02-10T18:14:22.496756
ABTS.US,ok,2950,2026-02-10T18:14:23.888475
ABTX.US,ok,1763,2026-02-10T18:14:25.260749
ABTX_old.US,ok,520,2026-02-10T18:14:26.456788
ABUS.US,ok,3799,2026-02-10T18:14:27.464543
ABVA.US,ok,2782,2026-02-10T18:14:28.827632
ABVC.US,ok,1727,2026-02-10T18:14:30.175387
ABVE.US,ok,1029,2026-02-10T18:14:31.368631
ABVT.US,ok,2124,2026-02-10T18:14:32.561736
ABVX.US,ok,552,2026-02-10T18:14:33.784695
ABWG.US,ok,4028,2026-02-10T18:14:34.815388
ABWTQ.US,ok,3257,2026-02-10T18:14:36.067442
ABX.US,ok,1332,2026-02-10T18:14:37.471596
ABXL.US,ok,24,2026-02-10T18:14:38.629865
ABX_old.US,ok,8595,2026-02-10T18:14:39.616794
ABY.US,ok,1172,2026-02-10T18:14:41.222125
ABY_old.US,ok,2471,2026-02-10T18:14:42.386927
AC.US,ok,2514,2026-02-10T18:14:43.727924
ACA.US,ok,1802,2026-02-10T18:14:45.072865
ACAB.US,ok,679,2026-02-10T18:14:46.422552
ACAC.US,ok,539,2026-02-10T18:14:47.395469
ACACW.US,ok,190,2026-02-10T18:14:48.397229
ACAD.US,ok,5431,2026-02-10T18:14:49.406359
ACAH.US,ok,749,2026-02-10T18:14:50.924955
ACAHW.US,ok,556,2026-02-10T18:14:51.917756
ACAL.US,ok,74,2026-02-10T18:14:52.948264
ACAM.US,ok,431,2026-02-10T18:14:53.939099
ACAMU.US,ok,483,2026-02-10T18:14:54.934676
ACAMW.US,ok,448,2026-02-10T18:14:55.937382
ACAMY.US,ok,1499,2026-02-10T18:14:56.908143
ACAM_old.US,ok,529,2026-02-10T18:14:58.083032
ACAP.US,ok,2464,2026-02-10T18:14:59.078024
ACAQ.US,ok,475,2026-02-10T18:15:00.416429
ACAQ-U.US,ok,4,2026-02-10T18:15:01.435796
ACAS.US,ok,4783,2026-02-10T18:15:02.957813
ACAX.US,ok,451,2026-02-10T18:15:04.615184
ACAXR.US,ok,451,2026-02-10T18:15:05.947091
ACB.US,ok,2887,2026-02-10T18:15:06.966928
ACBA.US,ok,2422,2026-02-10T18:15:08.395525
ACBAW.US,ok,411,2026-02-10T18:15:09.685000
ACBA_old.US,ok,2209,2026-02-10T18:15:11.026140
ACBI.US,ok,1599,2026-02-10T18:15:12.477396
ACC.US,ok,4530,2026-02-10T18:15:13.856561
ACCD.US,ok,1197,2026-02-10T18:15:15.613622
ACCL.US,ok,52,2026-02-10T18:15:17.003273
ACCL_old.US,ok,3854,2026-02-10T18:15:18.168534
ACCO.US,ok,9983,2026-02-10T18:15:19.631737
ACCS.US,ok,7036,2026-02-10T18:15:21.311450
ACCS2.US,ok,239,2026-02-10T18:15:23.065564
ACCUF.US,ok,631,2026-02-10T18:15:24.150449
ACDC.US,ok,912,2026-02-10T18:15:25.317452
ACDI.US,ok,283,2026-02-10T18:15:26.686795
ACDO.US,ok,1597,2026-02-10T18:15:27.785075
ACEC.US,ok,2699,2026-02-10T18:15:29.019199
ACEE.US,ok,731,2026-02-10T18:15:30.439234
ACEI_old.US,ok,820,2026-02-10T18:15:31.647022
ACEL.US,ok,1914,2026-02-10T18:15:32.741525
ACEP_old.US,ok,340,2026-02-10T18:15:34.102858
ACER.US,ok,5027,2026-02-10T18:15:35.114367
ACET.US,ok,1994,2026-02-10T18:15:36.624316
ACETQ.US,ok,8362,2026-02-10T18:15:37.991043
ACEV.US,ok,588,2026-02-10T18:15:39.691961
ACEVU.US,ok,587,2026-02-10T18:15:40.744068
ACEVW.US,ok,551,2026-02-10T18:15:41.821689
