Code,Name,Country,Exchange,Currency,Type,Isin,is_delisted,ticker_api,home_category
A,Agilent Technologies Inc,USA,NYSE,USD,Common Stock,US00846U1016,False,A.US,domestic
AA,Alcoa Corp,USA,NYSE,USD,Common Stock,US0138721065,False,AA.US,domestic
AAAB,Admiralty Bancorp Inc,USA,NASDAQ,USD,Common Stock,,True,AAAB.US,unclassified
AAAGY,Altana Aktiengesellschaft,USA,NYSE,USD,Common Stock,,True,AAAGY.US,unclassified
AAAP,Advanced Accelerator Applications S.A,USA,NASDAQ,USD,Common Stock,US00790T1007,True,AAAP.US,domestic
AAB,Astrazeneca Ab,USA,NYSE,USD,Common Stock,,True,AAB.US,unclassified
AABA,Altaba Inc,USA,NASDAQ,USD,Common Stock,US0213461017,True,AABA.US,domestic
AABC,Access Anytime Bancorp Inc,USA,NASDAQ,USD,Common Stock,,True,AABC.US,unclassified
AAC,Ares Acquisition Corporation,USA,NYSE,USD,Common Stock,KYG330321061,True,AAC.US,foreign
AAC-U,AAC-U,USA,NYSE,USD,Common Stock,,True,AAC-U.US,unclassified
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG0509J1159,False,AACB.US,foreign
AACB_old,Alliance Atlantis Communications Inc,USA,NASDAQ,USD,Common Stock,,True,AACB_old.US,unclassified
AACC,Asset Acceptance Capital Corp,USA,NASDAQ,USD,Common Stock,,True,AACC.US,unclassified
AACE,Ace Cash Express Inc,USA,NASDAQ,USD,Common Stock,,True,AACE.US,unclassified
AACG,ATA Creativity Global,USA,NASDAQ,USD,Common Stock,US00211V1061,False,AACG.US,domestic
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG0R38G1040,True,AACI.US,foreign
AACI_old,Armada Acquisition Corp I,USA,NASDAQ,USD,Common Stock,US04208V1035,True,AACI_old.US,domestic
AACQ,Origin Materials Inc,USA,NASDAQ,USD,Common Stock,US68622D1063,True,AACQ.US,domestic
AACQU,Origin Materials Inc,USA,NASDAQ,USD,Common Stock,KY04316G2048,True,AACQU.US,foreign
AACQW,Artius Acquisition Inc,USA,NASDAQ,USD,Common Stock,KY04316G1131,True,AACQW.US,foreign
AACT,Ares Acquisition Corporation II,USA,NYSE,USD,Common Stock,KYG330331201,True,AACT.US,foreign
AACT_old,AACT,USA,NYSE,USD,Common Stock,,True,AACT_old.US,unclassified
AAC_old1,Arcadia Financial Ltd,USA,NYSE,USD,Common Stock,,True,AAC_old1.US,unclassified
AAC_old2,AAC Holdings Inc,USA,NYSE,USD,Common Stock,US0003071083,True,AAC_old2.US,domestic
AADI,Aadi Bioscience Inc,USA,NASDAQ,USD,Common Stock,US00032Q1040,True,AADI.US,domestic
AAGIY1,Anglo American Gold Investment Co Ltd,USA,NASDAQ,USD,Common Stock,,True,AAGIY1.US,unclassified
AAGRW,African Agriculture Holdings Inc,USA,NASDAQ,USD,Common Stock,,True,AAGRW.US,unclassified
AAI,AIRTRAN HOLDINGS INC,USA,NYSE,USD,Common Stock,US00949P1084,True,AAI.US,domestic
AAIC,Arlington Asset Investment Corp,USA,NYSE,USD,Common Stock,US0413562051,True,AAIC.US,domestic
AAII,Aaipharma Inc,USA,NASDAQ,USD,Common Stock,,True,AAII.US,unclassified
AAIN,AAIN,USA,NYSE,USD,Common Stock,,True,AAIN.US,unclassified
AAI_old,Aqua Alliance Inc,USA,NYSE MKT,USD,Common Stock,,True,AAI_old.US,unclassified
AAK,AAK,USA,NYSE,USD,Common Stock,,True,AAK.US,unclassified
AAL,American Airlines Group,USA,NASDAQ,USD,Common Stock,US02376R1023,False,AAL.US,domestic
AAM,AA Mission Acquisition Corp.,USA,NYSE,USD,Common Stock,KYG1000R1011,False,AAM.US,foreign
AAMC,Altisource Asset Management Corp,USA,NYSE MKT,USD,Common Stock,VI02153X1080,True,AAMC.US,foreign
AAME,Atlantic American Corporation,USA,NASDAQ,USD,Common Stock,US0482091008,False,AAME.US,domestic
AAMI,Acadian Asset Management Inc,USA,NYSE,USD,Common Stock,US10948W1036,False,AAMI.US,domestic
AAM_old,AA Mission Acquisition Corp.,USA,NYSE,USD,Common Stock,,True,AAM_old.US,unclassified
AAN,The Aaron's Company Inc.,USA,NYSE,USD,Common Stock,US00258W1080,True,AAN.US,domestic
AANB,Abigail Adams National Bancorp Inc,USA,NASDAQ,USD,Common Stock,,True,AANB.US,unclassified
AAN_old,AAN,USA,NYSE,USD,Common Stock,,True,AAN_old.US,unclassified
AAOI,Applied Opt,USA,NASDAQ,USD,Common Stock,US03823U1025,False,AAOI.US,domestic
AAON,AAON Inc,USA,NASDAQ,USD,Common Stock,US0003602069,False,AAON.US,domestic
AAP,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064,False,AAP.US,domestic
AAP1,Amway Asia Pacific Ltd,USA,NYSE,USD,Common Stock,,True,AAP1.US,unclassified
AAPC,Atlantic Alliance Partnership Corp,USA,NASDAQ,USD,Common Stock,,True,AAPC.US,unclassified
AAPG,Ascentage Pharma Group International,USA,NASDAQ,USD,Common Stock,KYG0519B1023,False,AAPG.US,foreign
AAPGV,Ascentage Pharma Group International American Depository Shares When Issued,USA,NASDAQ,USD,Common Stock,,True,AAPGV.US,unclassified
AAPL,Apple Inc,USA,NASDAQ,USD,Common Stock,US0378331005,False,AAPL.US,domestic
AAQC,Accelerate Acquisition Corp,USA,NYSE,USD,Common Stock,US00439D1028,True,AAQC.US,domestic
AARD,"Aardvark Therapeutics, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US0029421007,False,AARD.US,domestic
AAT,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047,False,AAT.US,domestic
AATI,Advanced Analogic Technologies Incorp.,USA,NASDAQ,USD,Common Stock,,True,AATI.US,unclassified
AATI_old,Analysis & Technology Inc,USA,NASDAQ,USD,Common Stock,,True,AATI_old.US,unclassified
AATT,Aavid Thermal Technologies Inc,USA,NASDAQ,USD,Common Stock,,True,AATT.US,unclassified
AAU,Almaden Minerals Ltd,USA,NYSE MKT,USD,Common Stock,CA0202833053,True,AAU.US,foreign
AAUC,Allied Gold Corporation,USA,NYSE,USD,Common Stock,CA01921D2041,False,AAUC.US,foreign
AAUGD,Aero Energy Limited,USA,NASDAQ,USD,Common Stock,CA00792K2065,False,AAUGD.US,foreign
AAV,Advantage Oil & Gas Ltd,USA,NYSE,USD,Common Stock,US0036872093,True,AAV.US,domestic
AAVL,AAVL,USA,NASDAQ,USD,Common Stock,,True,AAVL.US,unclassified
AAV_old,Avatex Corp,USA,NYSE,USD,Common Stock,,True,AAV_old.US,unclassified
AAWHQ,Atlas Air Worldwide Holdings Inc,USA,NASDAQ,USD,Common Stock,,True,AAWHQ.US,unclassified
AAWW,Atlas Air Worldwide Holdings,USA,NASDAQ,USD,Common Stock,US0491642056,True,AAWW.US,domestic
AB,AllianceBernstein Holding L.P. ,USA,NYSE,USD,Common Stock,US01881G1067,False,AB.US,domestic
ABAC,Renmin Tianli Group Inc,USA,NASDAQ,USD,Common Stock,USG0404E1123,True,ABAC.US,domestic
ABACF,Abacan Resource Corp,USA,NASDAQ,USD,Common Stock,,True,ABACF.US,unclassified
ABAN,American Bancshares Inc,USA,NASDAQ,USD,Common Stock,,True,ABAN.US,unclassified
ABAT,American Battery Technology Company Common Stock,USA,NASDAQ,USD,Common Stock,US02451V3096,False,ABAT.US,domestic
ABAX,Abaxis Inc,USA,NASDAQ,USD,Common Stock,US0025671050,True,ABAX.US,domestic
ABBBY,Abb Asea Brown Boveri Ltd,USA,NASDAQ,USD,Common Stock,,True,ABBBY.US,unclassified
ABBC,ABINGTON BANCORP INC./PA,USA,NASDAQ,USD,Common Stock,,True,ABBC.US,unclassified
ABBK,Abington Bancorp Inc,USA,NASDAQ,USD,Common Stock,,True,ABBK.US,unclassified
ABBV,AbbVie Inc,USA,NYSE,USD,Common Stock,US00287Y1091,False,ABBV.US,domestic
ABC,AmerisourceBergen,USA,NYSE,USD,Common Stock,US03073E1055,True,ABC.US,domestic
ABCB,Ameris Bancorp,USA,NYSE,USD,Common Stock,US03076K1088,False,ABCB.US,domestic
ABCC,Abc Dispensing Technologies Inc,USA,NASDAQ,USD,Common Stock,,True,ABCC.US,unclassified
ABCD,Cambium Learning Group Inc,USA,NASDAQ,USD,Common Stock,US13201A1079,True,ABCD.US,domestic
ABCL,Abcellera Biologics Inc,USA,NASDAQ,USD,Common Stock,CA00288U1066,False,ABCL.US,foreign
ABCL_old,AbCellera Biologics Inc.,USA,NASDAQ,USD,Common Stock,,True,ABCL_old.US,unclassified
ABCM,Abcam PLC,USA,NASDAQ,USD,Common Stock,US0003802040,True,ABCM.US,domestic
ABCO,The Advisory Board Company,USA,NASDAQ,USD,Common Stock,US00762W1071,True,ABCO.US,domestic
ABCO_old,American Buildings Co,USA,NASDAQ,USD,Common Stock,,True,ABCO_old.US,unclassified
ABCR,ABC Naco Inc,USA,NASDAQ,USD,Common Stock,,True,ABCR.US,unclassified
ABCW,Anchor BanCorp Wisconsin Inc,USA,NASDAQ,USD,Common Stock,,True,ABCW.US,unclassified
ABD,Autobond Acceptance Corp,USA,NYSE,USD,Common Stock,,True,ABD.US,unclassified
ABDC,Alcentra Capital Corporation,USA,NASDAQ,USD,Common Stock,US01374T1025,True,ABDC.US,domestic
ABDR_old,Abacus Direct Corp,USA,NASDAQ,USD,Common Stock,,True,ABDR_old.US,unclassified
ABDS,Allegro Biodiesel Corp,USA,NASDAQ,USD,Common Stock,,True,ABDS.US,unclassified
ABEO,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00289Y2063,False,ABEO.US,domestic
ABEOW,Abeona Therapeutics Inc,USA,NASDAQ,USD,Common Stock,,True,ABEOW.US,unclassified
ABEV,Ambev SA ADR,USA,NYSE,USD,Common Stock,US02319V1035,False,ABEV.US,domestic
ABF,Airborne Inc,USA,NYSE,USD,Common Stock,,True,ABF.US,unclassified
ABFIQ,American Business Financial Services Inc,USA,NASDAQ,USD,Common Stock,,True,ABFIQ.US,unclassified
ABFS,Arkansas Best Corp,USA,NASDAQ,USD,Common Stock,,True,ABFS.US,unclassified
ABG,Asbury Automotive Group Inc,USA,NYSE,USD,Common Stock,US0434361046,False,ABG.US,domestic
ABG2,Groupe Ab Sa,USA,NYSE,USD,Common Stock,,True,ABG2.US,unclassified
ABGB,ABENGOA SA,USA,NASDAQ,USD,Common Stock,,True,ABGB.US,unclassified
ABGBY,ABGBY,USA,NASDAQ,USD,Common Stock,,True,ABGBY.US,unclassified
ABGI,ABG Acquisition I Corp,USA,NASDAQ,USD,Common Stock,KYG004961028,True,ABGI.US,foreign
ABGX,Abgenix Inc,USA,NASDAQ,USD,Common Stock,,True,ABGX.US,unclassified
ABHH,American Bank Note Holographics Inc,USA,NYSE,USD,Common Stock,,True,ABHH.US,unclassified
ABII,Abraxis BioScience Inc,USA,NASDAQ,USD,Common Stock,,True,ABII.US,unclassified
ABIL,Ability Inc,USA,NASDAQ,USD,Common Stock,USG8789K1081,True,ABIL.US,domestic
ABILW,ABILW,USA,NASDAQ,USD,Common Stock,,True,ABILW.US,unclassified
ABIO,ARCA Biopharma Inc,USA,NASDAQ,USD,Common Stock,US00211Y5069,True,ABIO.US,domestic
ABIO_old,Applied Biometrics Inc,USA,NASDAQ,USD,Common Stock,,True,ABIO_old.US,unclassified
ABIX,Abatix Corp,USA,NASDAQ,USD,Common Stock,,True,ABIX.US,unclassified
ABIZA,Adelphia Business Solutions Inc,USA,NASDAQ,USD,Common Stock,,True,ABIZA.US,unclassified
ABI_old1,Applied Biosystems Inc,USA,NYSE,USD,Common Stock,,True,ABI_old1.US,unclassified
